skill_path,grade,score
plugins/ai-agency/agency-os/skills/agency-os,A,95
plugins/ai-agency/hyperflow/skills/audit,B,89
plugins/ai-agency/hyperflow/skills/background,B,86
plugins/ai-agency/hyperflow/skills/bridge,B,83
plugins/ai-agency/hyperflow/skills/cache,A,93
plugins/ai-agency/hyperflow/skills/deploy,B,89
plugins/ai-agency/hyperflow/skills/design,B,82
plugins/ai-agency/hyperflow/skills/dispatch,B,89
plugins/ai-agency/hyperflow/skills/flush,A,92
plugins/ai-agency/hyperflow/skills/handoff,C,78
plugins/ai-agency/hyperflow/skills/hyperflow,C,79
plugins/ai-agency/hyperflow/skills/issue,B,82
plugins/ai-agency/hyperflow/skills/plan,B,88
plugins/ai-agency/hyperflow/skills/pr,C,79
plugins/ai-agency/hyperflow/skills/scaffold,A,94
plugins/ai-agency/hyperflow/skills/status,A,93
plugins/ai-agency/hyperflow/skills/sticky,B,82
plugins/ai-agency/hyperflow/skills/trace,A,90
plugins/ai-agency/hyperflow/skills/workflow,C,71
plugins/ai-agency/hyperflow/templates/antigravity/skills/hyperflow-audit,D,66
plugins/ai-agency/hyperflow/templates/antigravity/skills/hyperflow-cache,F,55
plugins/ai-agency/hyperflow/templates/antigravity/skills/hyperflow-deploy,D,66
plugins/ai-agency/hyperflow/templates/antigravity/skills/hyperflow-design,D,62
plugins/ai-agency/hyperflow/templates/antigravity/skills/hyperflow-dispatch,D,66
plugins/ai-agency/hyperflow/templates/antigravity/skills/hyperflow-plan,D,61
plugins/ai-agency/hyperflow/templates/antigravity/skills/hyperflow-scaffold,D,62
plugins/ai-agency/hyperflow/templates/antigravity/skills/hyperflow-status,D,60
plugins/ai-agency/hyperflow/templates/antigravity/skills/hyperflow-sticky,D,60
plugins/ai-agency/hyperflow/templates/antigravity/skills/hyperflow-trace,D,63
plugins/ai-agency/shipwright/skills/shipwright-pipeline,A,100
plugins/ai-agency/tonone/bundle/marketing-team/skills/buzz-devrel,D,66
plugins/ai-agency/tonone/bundle/marketing-team/skills/buzz-hn,D,67
plugins/ai-agency/tonone/bundle/marketing-team/skills/buzz-outreach,D,65
plugins/ai-agency/tonone/bundle/marketing-team/skills/ink-brief,D,63
plugins/ai-agency/tonone/bundle/marketing-team/skills/ink-cluster,C,70
plugins/ai-agency/tonone/bundle/marketing-team/skills/ink-distribute,D,65
plugins/ai-agency/tonone/bundle/marketing-team/skills/pitch-copy,D,68
plugins/ai-agency/tonone/bundle/marketing-team/skills/pitch-landing,C,76
plugins/ai-agency/tonone/bundle/marketing-team/skills/pitch-launch,D,68
plugins/ai-agency/tonone/bundle/marketing-team/skills/pitch-message,C,71
plugins/ai-agency/tonone/bundle/marketing-team/skills/pitch-position,D,69
plugins/ai-agency/tonone/bundle/marketing-team/skills/pitch-recon,C,74
plugins/ai-agency/tonone/bundle/revenue-team/skills/deal-outreach,D,69
plugins/ai-agency/tonone/bundle/revenue-team/skills/deal-proposal,C,70
plugins/ai-agency/tonone/bundle/revenue-team/skills/deal-qualify,C,74
plugins/ai-agency/tonone/bundle/revenue-team/skills/keep-churn,D,65
plugins/ai-agency/tonone/bundle/revenue-team/skills/keep-qbr,D,65
plugins/ai-agency/tonone/bundle/revenue-team/skills/keep-segment,D,69
plugins/ai-agency/tonone/bundle/revenue-team/skills/surge-activation,D,64
plugins/ai-agency/tonone/bundle/revenue-team/skills/surge-experiment,D,65
plugins/ai-agency/tonone/bundle/revenue-team/skills/surge-landing,C,77
plugins/ai-agency/tonone/bundle/revenue-team/skills/surge-plg,D,65
plugins/ai-agency/tonone/bundle/revenue-team/skills/surge-recon,C,73
plugins/ai-agency/tonone/bundle/revenue-team/skills/surge-retention,D,65
plugins/ai-agency/tonone/skills/apex,D,64
plugins/ai-agency/tonone/skills/apex-plan,C,72
plugins/ai-agency/tonone/skills/apex-recon,C,73
plugins/ai-agency/tonone/skills/apex-review,C,75
plugins/ai-agency/tonone/skills/apex-status,C,72
plugins/ai-agency/tonone/skills/apex-takeover,C,73
plugins/ai-agency/tonone/skills/atlas,D,64
plugins/ai-agency/tonone/skills/atlas-adr,D,69
plugins/ai-agency/tonone/skills/atlas-changelog,D,69
plugins/ai-agency/tonone/skills/atlas-map,D,69
plugins/ai-agency/tonone/skills/atlas-onboard,C,78
plugins/ai-agency/tonone/skills/atlas-present,F,59
plugins/ai-agency/tonone/skills/atlas-recon,C,76
plugins/ai-agency/tonone/skills/atlas-report,D,61
plugins/ai-agency/tonone/skills/buzz,D,63
plugins/ai-agency/tonone/skills/buzz-community,D,69
plugins/ai-agency/tonone/skills/buzz-launch,D,67
plugins/ai-agency/tonone/skills/buzz-pitch,D,65
plugins/ai-agency/tonone/skills/buzz-recon,D,64
plugins/ai-agency/tonone/skills/buzz-social,D,67
plugins/ai-agency/tonone/skills/cortex,D,62
plugins/ai-agency/tonone/skills/cortex-eval,D,66
plugins/ai-agency/tonone/skills/cortex-integrate,D,65
plugins/ai-agency/tonone/skills/cortex-model,D,65
plugins/ai-agency/tonone/skills/cortex-prompt,D,65
plugins/ai-agency/tonone/skills/cortex-recon,D,69
plugins/ai-agency/tonone/skills/crest,D,63
plugins/ai-agency/tonone/skills/crest-compete,D,67
plugins/ai-agency/tonone/skills/crest-narrative,C,71
plugins/ai-agency/tonone/skills/crest-okr,D,66
plugins/ai-agency/tonone/skills/crest-recon,C,72
plugins/ai-agency/tonone/skills/crest-roadmap,D,68
plugins/ai-agency/tonone/skills/deal,D,64
plugins/ai-agency/tonone/skills/deal-close,C,71
plugins/ai-agency/tonone/skills/deal-pipeline,C,70
plugins/ai-agency/tonone/skills/deal-playbook,C,70
plugins/ai-agency/tonone/skills/deal-pricing,C,73
plugins/ai-agency/tonone/skills/deal-recon,D,65
plugins/ai-agency/tonone/skills/draft,D,65
plugins/ai-agency/tonone/skills/draft-flow,C,74
plugins/ai-agency/tonone/skills/draft-ia,C,73
plugins/ai-agency/tonone/skills/draft-landing,C,77
plugins/ai-agency/tonone/skills/draft-patterns,C,77
plugins/ai-agency/tonone/skills/draft-recon,D,69
plugins/ai-agency/tonone/skills/draft-review,C,70
plugins/ai-agency/tonone/skills/draft-wireframe,D,63
plugins/ai-agency/tonone/skills/echo,D,63
plugins/ai-agency/tonone/skills/echo-feedback,D,65
plugins/ai-agency/tonone/skills/echo-interview,D,66
plugins/ai-agency/tonone/skills/echo-jobs,D,66
plugins/ai-agency/tonone/skills/echo-recon,C,70
plugins/ai-agency/tonone/skills/echo-segment,C,74
plugins/ai-agency/tonone/skills/flux,D,64
plugins/ai-agency/tonone/skills/flux-health,C,71
plugins/ai-agency/tonone/skills/flux-migrate,D,64
plugins/ai-agency/tonone/skills/flux-pipeline,C,75
plugins/ai-agency/tonone/skills/flux-query,C,74
plugins/ai-agency/tonone/skills/flux-recon,C,78
plugins/ai-agency/tonone/skills/flux-schema,D,67
plugins/ai-agency/tonone/skills/forge,D,65
plugins/ai-agency/tonone/skills/forge-audit,C,71
plugins/ai-agency/tonone/skills/forge-cost,D,64
plugins/ai-agency/tonone/skills/forge-diagnose,D,69
plugins/ai-agency/tonone/skills/forge-infra,D,66
plugins/ai-agency/tonone/skills/forge-network,D,69
plugins/ai-agency/tonone/skills/forge-recon,D,65
plugins/ai-agency/tonone/skills/form,D,64
plugins/ai-agency/tonone/skills/form-audit,D,67
plugins/ai-agency/tonone/skills/form-brand,D,65
plugins/ai-agency/tonone/skills/form-brief,D,68
plugins/ai-agency/tonone/skills/form-component,D,61
plugins/ai-agency/tonone/skills/form-deck,C,70
plugins/ai-agency/tonone/skills/form-email,D,62
plugins/ai-agency/tonone/skills/form-exam,C,76
plugins/ai-agency/tonone/skills/form-logo,D,66
plugins/ai-agency/tonone/skills/form-mobile,D,68
plugins/ai-agency/tonone/skills/form-palette,C,77
plugins/ai-agency/tonone/skills/form-social,D,67
plugins/ai-agency/tonone/skills/form-style,C,77
plugins/ai-agency/tonone/skills/form-tokens,F,55
plugins/ai-agency/tonone/skills/form-web,D,65
plugins/ai-agency/tonone/skills/helm,D,63
plugins/ai-agency/tonone/skills/helm-arbiter,C,72
plugins/ai-agency/tonone/skills/helm-brief,C,74
plugins/ai-agency/tonone/skills/helm-handoff,C,70
plugins/ai-agency/tonone/skills/helm-plan,C,70
plugins/ai-agency/tonone/skills/helm-recon,C,71
plugins/ai-agency/tonone/skills/ink,D,62
plugins/ai-agency/tonone/skills/ink-calendar,C,71
plugins/ai-agency/tonone/skills/ink-case,D,68
