company,display_name,tier,skill_count,npm_package,npm_status,beads_epic_id,skills_created,skills_tested,website_status,marketplace_status,notes
supabase,Supabase,flagship+,30,@intentsolutionsio/supabase-skill-md-pack,published,ccpi-supabase,30,0,not_started,added,Brex #23 - npm published 2025-12-29
vercel,Vercel,flagship+,30,@intentsolutionsio/vercel-skill-md-pack,published,ccpi-vercel,30,0,not_started,added,Brex #27 - npm published 2025-12-29
sentry,Sentry,flagship+,30,@intentsolutionsio/sentry-skill-md-pack,published,ccpi-sentry,30,0,complete,added,Brex #33 - npm published 2025-12-30
cursor,Cursor,flagship+,30,@intentsolutionsio/cursor-skill-md-pack,published,ccpi-cursor,30,0,complete,added,Brex #1 - npm published 2025-12-30
openrouter,OpenRouter,flagship+,30,@intentsolutionsio/openrouter-skill-md-pack,published,ccpi-openrouter,30,0,complete,added,Brex #2 - npm published 2025-12-30
klingai,Kling AI,flagship+,30,@intentsolutionsio/klingai-skill-md-pack,published,ccpi-klingai,30,0,complete,added,Brex #3 - npm published 2025-12-30
retellai,Retell AI,flagship+,30,@intentsolutionsio/retellai-skill-md-pack,published,ccpi-retellai,30,30,complete,added,Brex #4 - website added 2026-01-06
perplexity,Perplexity,flagship+,30,@intentsolutionsio/perplexity-skill-md-pack,published,ccpi-perplexity,30,30,complete,added,Brex #5 - website added 2026-01-06
windsurf,Windsurf,flagship+,30,@intentsolutionsio/windsurf-skill-md-pack,published,ccpi-windsurf,30,30,complete,added,Brex #6 - website added 2026-01-06
firecrawl,FireCrawl,flagship+,30,@intentsolutionsio/firecrawl-skill-md-pack,published,ccpi-firecrawl,30,30,complete,added,Brex #7 - website added 2026-01-06
clay,Clay,flagship+,30,@intentsolutionsio/clay-skill-md-pack,published,ccpi-clay,30,30,complete,added,Brex #8 - website added 2026-01-06
replit,Replit,flagship+,30,@intentsolutionsio/replit-skill-md-pack,published,ccpi-replit,30,30,complete,added,Brex #9 - website added 2026-01-06
exa,Exa,flagship+,30,@intentsolutionsio/exa-skill-md-pack,published,ccpi-exa,30,30,complete,added,Brex #10 - website added 2026-01-06
vastai,Vast.ai,flagship,24,@intentsolutionsio/vastai-skill-md-pack,published,ccpi-vastai,24,24,complete,added,Brex #11 - website added 2026-01-06
groq,Groq,flagship,24,@intentsolutionsio/groq-skill-md-pack,published,ccpi-groq,24,24,complete,added,Brex #12 - website added 2026-01-06
instantly,Instantly,flagship,24,@intentsolutionsio/instantly-skill-md-pack,published,ccpi-instantly,24,24,complete,added,Brex #13 - website added 2026-01-06
fireflies,Fireflies.ai,flagship,24,@intentsolutionsio/fireflies-skill-md-pack,published,ccpi-fireflies,24,24,complete,added,Brex #14 - website added 2026-01-06
coderabbit,CodeRabbit,flagship,24,@intentsolutionsio/coderabbit-skill-md-pack,published,ccpi-coderabbit,24,24,complete,added,Brex #15 - website added 2026-01-06
posthog,PostHog,flagship,24,@intentsolutionsio/posthog-skill-md-pack,published,ccpi-posthog,24,24,complete,added,Brex #16 - website added 2026-01-06
ideogram,Ideogram,flagship,24,@intentsolutionsio/ideogram-skill-md-pack,published,ccpi-ideogram,24,24,complete,added,Brex #17 - website added 2026-01-06
apollo,Apollo,flagship,24,@intentsolutionsio/apollo-skill-md-pack,reserved,ccpi-apollo,24,24,complete,added,Brex #18 - website added 2026-01-06
deepgram,Deepgram,flagship,24,@intentsolutionsio/deepgram-skill-md-pack,reserved,ccpi-deepgram,24,24,complete,added,Brex #19 - website added 2026-01-06
